ID,N_replicates,N_chains,Seeds,ipTM_LCB,Sum_CONTACTS,CONTACTS_HBOND,CONTACTS_SALT_BRIDGE,CONTACTS_HYDROPHOBIC,CONTACTS_DISULFIDE,CONTACTS_VDW,BSA_INT_PROTO,SD_THETA_ROT,S_PROTO,D_APEX,SD_THETA_APEX,THETA_APEX_mean,THETA_APEX_sd,L_APEX_mean,L_APEX_sd,H_ABS_mean,H_ABS_sd,MU_H_mean,MU_H_sd,ALPHA1_LINEARITY_mean,ALPHA1_LINEARITY_sd,ALPHA1_PLDDT_mean,ALPHA1_PLDDT_sd,D_MHD_P_mean,D_MHD_P_sd,D_CC_NB_LINKER_mean,D_CC_NB_LINKER_sd,L_CC_NB_LINKER_mean,L_CC_NB_LINKER_sd,ipTM_mean,ipTM_sd,Sum_CONTACTS_mean,Sum_CONTACTS_sd,CONTACTS_HBOND_mean,CONTACTS_HBOND_sd,CONTACTS_SALT_BRIDGE_mean,CONTACTS_SALT_BRIDGE_sd,CONTACTS_HYDROPHOBIC_mean,CONTACTS_HYDROPHOBIC_sd,CONTACTS_DISULFIDE_mean,CONTACTS_DISULFIDE_sd,CONTACTS_VDW_mean,CONTACTS_VDW_sd,BSA_INT_PROTO_mean,BSA_INT_PROTO_sd,SD_THETA_ROT_mean,SD_THETA_ROT_sd,SD_THETA_APEX_mean,SD_THETA_APEX_sd,S_PROTO_mean,S_PROTO_sd,D_APEX_mean,D_APEX_sd
gob_00000000002_physalis_grisea_helixer_chr4_000942_1_cnl,3,6,"[1, 2, 3]",0.619381,263.727609,20.873589,21.345797,63.351191,0.0,154.498507,2415.60302,0.156577,0.063178,54.947635,,,,,,-0.304217,0.009903,,,,,,,15.171111,0.081075,8.727222,0.027905,-6.0,0.0,0.636667,0.015275,277.626024,12.282021,22.761883,1.668684,21.922869,0.509958,69.878466,5.768149,0.0,0.0,161.199253,5.921445,2448.359793,28.94714,0.0927,0.056448,,,0.044333,0.016653,46.84,7.164712
gob_00000000002_physalis_grisea_helixer_chr4_001191_1_cnl,3,6,"[1, 2, 3]",0.7968,186.751772,16.178984,15.258255,32.994997,0.0,111.299926,2059.156072,0.165084,0.08728,22.378108,0.281419,48.330556,0.155495,21.0,0.0,-0.214455,0.021635,0.3155,0.0,0.939828,0.000899,86.868333,0.434859,15.028333,0.066416,3.831111,0.015396,-2.0,0.0,0.803333,0.005774,198.527079,10.405832,17.891371,1.513235,19.835755,4.045134,40.900066,6.985705,0.0,0.0,119.223035,7.001647,2127.040209,59.989171,0.1181,0.04152,0.225767,0.04918,0.052,0.031177,22.1,0.245764
gob_00000000002_physalis_grisea_helixer_chr7_000917_1_cnl,3,6,"[1, 2, 3]",0.24,0.0,0.0,0.0,0.0,0.0,0.0,4.506823,22.074778,3.071669,78.325232,,,,,,-0.263299,0.08912,,,,,,,23.155556,7.751063,17.215556,20.411401,-11.777778,14.147372,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.256107,113.775664,17.843667,3.739031,,,1.66,1.247491,73.846667,3.957706
gca_000715095_1_nicotiana_tabacum_helixer_awok01s249544_1_000003_1_cnl,3,6,"[1, 2, 3]",0.609199,100.852361,5.622576,6.197522,33.148174,0.0,55.690311,1001.684852,59.203968,1.16719,20.556955,0.328373,47.516111,0.70378,21.0,0.0,-0.192958,0.005464,0.3274,0.0,0.938544,0.000668,86.268889,0.822649,23.715556,18.661744,5.587778,1.526618,0.666667,0.57735,0.65,0.036056,123.784158,20.264815,9.006451,2.990328,7.441458,1.099265,37.014691,3.416839,0.0,0.0,69.589421,12.282635,1451.478525,397.482395,20.183433,34.482423,0.191767,0.120719,0.438333,0.64409,20.346667,0.185831
gob_00000000002_physalis_grisea_helixer_chr7_001521_1_cnl,3,6,"[1, 2, 3]",0.475242,161.099129,17.343192,13.860406,23.13696,0.0,105.178762,1572.508794,0.248236,0.135536,54.205414,,,,,,-0.16686,0.022132,,,,,,,14.513889,0.420705,5.626111,0.359237,-3.333333,0.57735,0.576667,0.089629,203.757241,37.696947,21.208166,3.415475,16.662459,2.476172,34.037998,9.633241,0.0,0.0,130.423191,22.308487,1895.028056,285.010076,0.159133,0.07874,,,0.095667,0.035233,40.15,12.420761
gob_00000000002_physalis_grisea_helixer_chr8_003528_1_cnl,3,6,"[1, 2, 3]",0.790133,245.713832,22.791548,15.226972,51.682122,0.0,151.98704,2476.845227,0.077446,0.053209,16.46885,0.46426,34.109444,0.318941,21.0,0.0,-0.198216,0.021079,0.302,0.0,0.935578,0.000324,79.22,0.657383,14.993889,0.059403,8.245556,3.568182,-6.333333,2.309401,0.796667,0.005774,263.928116,16.095951,25.383745,2.290722,21.393593,5.449439,56.856759,4.572823,0.0,0.0,158.879179,6.09058,2530.237473,47.182695,0.068333,0.008053,0.232333,0.204953,0.032333,0.018448,15.9,0.502693
gob_00000000003_solanum_aethiopicum_helixer_chr7_000605_1_cnl,3,6,"[1, 2, 3]",0.323501,-3.384732,-0.319754,-0.036769,-2.116677,0.0,-1.509683,1672.58052,0.19873,0.108282,57.799634,0.253536,46.286111,0.712921,21.0,0.0,-0.2052,0.099366,0.2857,0.0,0.9221,0.016351,75.703889,10.107453,15.14,0.392644,5.267778,0.389624,-3.666667,0.57735,0.53,0.182483,126.107198,114.43194,11.432547,10.385501,5.28,4.698425,41.428636,38.480966,0.0,0.0,67.014105,60.55443,2130.978092,405.085656,0.139667,0.052194,0.198733,0.048429,0.064333,0.038837,38.663333,16.910737
gob_00000000003_solanum_aethiopicum_helixer_chr7_002601_1_cnl,3,6,"[1, 2, 3]",0.630361,224.051202,21.694392,13.630317,53.168251,0.0,123.496042,1965.7298,0.168301,0.051743,48.192216,0.447346,45.757778,1.568107,21.0,0.0,-0.267885,0.017713,0.2884,0.0,0.935406,0.00586,78.482222,13.882636,14.946111,0.169069,24.000556,0.539231,13.0,0.0,0.696667,0.058595,227.506042,3.05304,23.484521,1.581935,17.146067,3.106867,57.370412,3.713447,0.0,0.0,127.973489,3.956717,1995.904733,26.66557,0.109633,0.051845,0.313333,0.118427,0.042667,0.008021,30.1,15.98808
gob_00000000003_solanum_aethiopicum_helixer_chr7_002691_1_nl,3,6,"[1, 2, 3]",0.241909,-2.068231,-0.340971,-0.324267,-0.374918,0.0,-1.501073,-299.17609,36.426851,1.342447,68.384873,,,,,,-0.149912,0.098845,,,,,,,13.276111,2.290311,18.019444,12.312799,-11.722222,10.168488,0.343333,0.089629,-0.553293,1.33875,-0.159914,0.16,0.337778,0.585048,-0.186538,0.166471,0.0,0.0,-0.683115,0.722829,1159.274294,1288.831718,18.492967,15.848163,,,0.523667,0.723555,55.343333,11.524801
gob_00000000005_solanum_anguivi_helixer_chr7_002476_1_cnl,3,6,"[1, 2, 3]",0.506048,129.608753,9.988134,10.354648,17.408337,0.0,84.548999,1857.138292,0.221076,0.089227,40.961425,,,,,,-0.406663,0.116209,,,,,,,14.672778,0.174518,12.218333,10.623575,4.333333,4.618802,0.523333,0.015275,140.02089,9.201199,12.937232,2.606116,13.666174,2.926394,20.532117,2.760483,0.0,0.0,91.318036,5.981794,1915.024568,51.154067,0.181367,0.035091,,,0.058333,0.027301,40.01,0.840773
gob_00000000006_solanum_candidum_helixer_chr12_001876_1_cnl,3,6,"[1, 2, 3]",0.6336,172.580606,16.904593,11.15617,35.588323,0.0,97.463863,1869.840389,0.172188,0.098772,45.684548,,,,,,-0.13797,0.107401,,,,,,,15.239444,0.299148,6.996111,1.245363,0.277778,2.982976,0.646667,0.011547,176.534725,3.494252,18.44804,1.363943,12.048575,0.788618,43.353542,6.86212,0.0,0.0,101.039439,3.159734,1936.567721,58.966903,0.119667,0.046413,,,0.064667,0.030139,44.273333,1.24709
gob_00000000006_solanum_candidum_helixer_chr4_002052_1_cnl,3,6,"[1, 2, 3]",0.53311,-29.52744,-5.303232,-1.600935,-1.391673,0.0,-20.460587,-266.164355,49.887934,0.144995,41.793603,1.334834,25.989444,19.698835,32.0,0.0,-0.312683,0.091949,0.1241,0.0,0.956722,0.016564,48.39,7.769904,14.317778,0.148271,11.89,1.971846,3.111111,1.539601,0.556667,0.020817,94.069436,109.222484,10.63654,14.085966,7.891158,8.388156,12.683383,12.438118,0.0,0.0,61.655598,72.566023,910.859886,1040.135605,24.390433,22.532126,0.639133,0.61479,0.094333,0.04477,40.033333,1.555549
gob_00000000006_solanum_candidum_helixer_chr5_002093_1_cnl,3,6,"[1, 2, 3]",0.61964,176.707105,14.524362,18.102124,42.529578,0.0,95.863874,2204.712707,0.140015,0.067713,38.176972,0.223762,42.612778,2.97975,21.0,0.0,-0.341116,0.045879,0.1918,0.0,0.938511,0.00022,77.911667,13.102177,14.706111,0.031284,9.14,5.909965,0.833333,5.008326,0.696667,0.068069,218.389805,36.834976,16.531778,1.773952,23.23845,4.538968,46.946706,3.903414,0.0,0.0,129.1461,29.411482,2349.660834,128.090572,0.093033,0.041518,0.159467,0.056818,0.047333,0.018009,26.733333,10.112736
gob_00000000007_solanum_citrullifolium_helixer_chr4_000370_1_cnl,3,6,"[1, 2, 3]",0.586957,95.64739,10.475993,8.318705,12.596754,0.0,62.828358,1681.986339,0.373682,0.12528,47.550127,0.27023,46.065,4.444354,21.0,0.0,-0.308257,0.057534,0.2525,0.0,0.923811,0.019911,68.795,9.504035,14.958333,0.050083,28.377222,19.481198,11.666667,12.701706,0.623333,0.032146,178.560746,73.270483,12.453419,1.74745,14.00452,5.024551,42.708266,26.609525,0.0,0.0,108.21507,40.108209,1856.016217,153.790097,0.182,0.169389,0.2157,0.048188,0.083,0.037363,43.596667,3.49367
gca_000715095_1_nicotiana_tabacum_helixer_awok01s643190_1_000001_1_cnl,3,6,"[1, 2, 3]",0.518597,94.283259,4.438184,-0.771309,33.259221,0.0,51.760405,1134.241881,0.35251,0.107561,50.057259,,,,,,-0.417099,0.014344,,,,,,,15.246111,0.14857,7.026667,3.615897,2.333333,2.081666,0.576667,0.051316,109.020512,13.023301,6.251688,1.602593,4.168889,4.36565,36.262692,2.654165,0.0,0.0,61.41809,8.53449,2053.116138,812.008622,0.213633,0.122725,,,0.084333,0.020526,46.1,3.497027
gob_00000000007_solanum_citrullifolium_helixer_chr4_000371_1_cnl,3,6,"[1, 2, 3]",0.310061,-4.753355,-0.511457,-0.828984,-0.991163,0.0,-3.149372,82.528831,43.952733,0.272661,68.462877,0.924622,24.813889,20.9183,21.0,0.0,-0.182726,0.025838,0.2538,0.0,0.935178,0.004459,50.337778,4.266994,11.370556,0.239237,34.833889,6.072334,18.0,0.0,0.34,0.026458,-1.735092,2.667237,-0.239871,0.24,-0.373333,0.402658,-0.20389,0.695712,0.0,0.0,-1.195683,1.726474,834.08888,664.153158,15.094833,25.501709,0.8045,0.106152,0.237667,0.030925,57.403333,9.773312
gob_00000000007_solanum_citrullifolium_helixer_chr4_001718_1_cnl,3,6,"[1, 2, 3]",0.610061,46.61427,4.004117,3.68584,9.223979,0.0,28.964244,402.297818,55.747287,0.132261,46.056634,0.341394,51.108333,3.030735,21.0,0.0,-0.198927,0.063637,0.2653,0.0,0.928339,0.001111,80.623333,2.501673,14.881667,0.059255,20.646111,7.449798,7.666667,4.041452,0.64,0.026458,130.349761,73.997003,13.474729,8.369173,14.33239,9.408349,24.515919,13.513478,0.0,0.0,77.227252,42.649991,1323.982123,814.49186,19.000467,32.473143,0.267367,0.065418,0.11,0.019672,45.17,0.783518
gob_00000000008_solanum_cleistogamum_helixer_chr4_000389_1_cnl,3,6,"[1, 2, 3]",0.66311,229.640822,19.101994,7.633305,57.053729,0.0,139.33313,1854.351878,0.227676,0.109356,28.110843,0.193508,43.038889,6.07068,21.0,0.0,-0.193092,0.006286,0.209,0.0,0.937506,0.0004,80.364444,1.686352,15.114444,0.056577,36.253889,2.014092,15.666667,1.154701,0.686667,0.020817,237.281764,6.752296,19.506106,0.357113,12.265759,4.093697,59.447896,2.115724,0.0,0.0,144.608707,4.662024,1988.187914,118.270823,0.153533,0.06552,0.176867,0.014706,0.075667,0.029771,25.253333,2.52518
gob_00000000008_solanum_cleistogamum_helixer_chr4_000391_1_cnl,3,6,"[1, 2, 3]",0.740267,15.426663,1.749925,1.123258,3.572459,0.0,8.741606,148.68204,44.084086,0.136847,20.739279,0.246033,46.761667,0.433295,21.0,0.0,-0.243243,0.0,0.2884,0.0,0.938578,0.000231,86.766111,0.252225,15.055556,0.049842,23.754444,0.195678,13.0,0.0,0.753333,0.011547,146.876271,116.161939,16.046634,12.633993,10.425488,8.220375,35.486188,28.202143,0.0,0.0,83.911763,66.427822,1388.914935,1095.993055,15.0256,25.678967,0.1842,0.054641,0.085333,0.045523,20.606667,0.117189
gob_00000000009_solanum_etuberosum_helixer_chr3_000041_1_cnl,3,6,"[1, 2, 3]",0.498597,120.802755,11.11228,2.881596,37.2202,0.0,63.590733,2168.078877,0.239685,0.071059,45.602343,,,,,,-0.430571,0.098949,,,,,,,15.119444,0.147633,13.870556,17.390755,5.333333,9.237604,0.556667,0.051316,129.136857,7.364841,11.33147,0.193699,5.168889,2.021279,40.839243,3.198146,0.0,0.0,70.938878,6.493551,2413.888294,217.221632,0.132267,0.094925,,,0.056333,0.013013,43.86,1.539708
gob_00000000010_solanum_giganteum_helixer_chr11_000693_1_cnl,3,6,"[1, 2, 3]",0.700061,150.058282,14.072704,12.557559,39.24085,0.0,81.543163,2080.695075,0.179588,0.124428,21.435735,0.259612,47.780556,0.620856,21.0,0.0,-0.091716,0.064007,0.3274,0.0,0.939367,0.000136,87.435,1.640936,,,16.104444,0.135168,5.0,0.0,0.73,0.026458,168.007986,15.862143,14.718321,0.570531,14.263745,1.507755,42.463562,2.847909,0.0,0.0,95.940011,12.722486,2210.53288,114.73759,0.140967,0.034129,0.180733,0.069705,0.076333,0.042501,20.806667,0.555908
gob_00000000010_solanum_giganteum_helixer_chr4_001916_1_cnl,3,6,"[1, 2, 3]",0.611765,121.326362,12.645063,12.12102,23.141969,0.0,71.758705,1256.924918,0.231651,0.116395,45.817809,0.249144,47.385,1.278597,21.0,0.0,-0.265239,0.036666,0.2884,0.0,0.935178,0.005414,83.006111,6.645595,15.087778,0.045987,25.784444,2.769813,12.333333,1.154701,0.706667,0.083865,202.832195,72.026655,20.25033,6.72077,14.334821,1.956335,49.364636,23.172954,0.0,0.0,117.458239,40.38465,1813.398399,491.755276,0.151433,0.070888,0.182433,0.058952,0.071667,0.039526,29.036667,14.829485
gob_00000000010_solanum_giganteum_helixer_chr4_001917_1_cnl,3,6,"[1, 2, 3]",0.720267,57.129398,4.791792,4.108361,14.821343,0.0,32.597786,538.383263,27.917889,0.14845,20.953279,0.337268,46.983333,0.524508,21.0,0.0,-0.24819,0.000794,0.2884,0.0,0.938933,0.000233,85.992222,0.980896,14.997778,0.079326,23.9,0.170888,13.0,0.0,0.733333,0.011547,152.14746,83.967403,15.641377,9.587772,10.035402,5.237723,36.195469,18.888302,0.0,0.0,89.126049,49.953992,1423.081232,781.807057,9.6002,16.187331,0.227167,0.097296,0.073333,0.06638,20.603333,0.309246
gob_00000000010_solanum_giganteum_helixer_chr5_003787_1_cnl,3,6,"[1, 2, 3]",0.778684,177.772189,11.543078,20.868676,41.129653,0.0,98.475161,2035.777938,0.121031,0.051976,21.159457,0.318557,44.262222,0.352437,21.0,0.0,-0.296374,0.031457,0.1918,0.0,0.938567,0.001206,88.570556,0.663125,14.695556,0.090513,5.012222,0.996489,-2.666667,0.57735,0.79,0.01,217.367345,34.990215,15.257407,3.28235,24.392567,3.11406,43.133472,1.770774,0.0,0.0,133.186141,30.674072,2292.651662,226.999154,0.117233,0.003356,0.2305,0.077816,0.043333,0.007638,20.916667,0.214554
gob_00000000010_solanum_giganteum_helixer_chr5_003788_1_cnl,3,6,"[1, 2, 3]",0.768684,100.271691,4.070849,9.051411,25.819978,0.0,56.971671,1602.261773,0.232866,0.128244,27.529193,0.238687,42.358889,0.315376,21.0,0.0,-0.291323,0.044993,0.2379,0.0,0.938339,0.000736,85.830556,0.862917,14.591111,0.054781,12.125,6.570659,4.666667,3.511885,0.78,0.01,107.613246,6.487728,7.916413,3.398323,11.224223,1.920113,27.146633,1.172364,0.0,0.0,60.038477,2.710135,1634.217006,28.238819,0.159867,0.064509,0.179633,0.052186,0.071,0.050587,26.783333,0.659116
gca_002210045_1_nicotiana_tabacum_helixer_ncaa01001196_1_000005_1_cnl,3,6,"[1, 2, 3]",0.628189,233.948563,22.09635,24.489978,47.412414,0.0,139.081482,1979.889809,0.230602,0.090909,18.322469,,,,,,-0.099636,0.028512,,,,,,,,,42.657778,7.396065,21.0,0.0,0.656667,0.025166,276.178766,37.318805,24.989713,2.556863,25.023663,0.471617,61.179123,12.165632,0.0,0.0,163.916905,21.947048,2124.125891,127.461338,0.170467,0.053142,,,0.068667,0.019655,16.586667,1.533927
gob_00000000011_solanum_havanense_helixer_chr10_001491_1_cnl,3,6,"[1, 2, 3]",0.738684,176.046604,16.014916,14.402811,29.074207,0.0,110.835639,1989.767649,0.10102,0.066866,26.951225,0.41904,42.410556,0.903512,20.0,0.0,-0.159375,0.010825,0.3475,0.0,0.933383,0.000592,81.634444,0.136141,14.951111,0.046677,6.616667,1.99613,-4.333333,1.527525,0.75,0.01,185.627114,8.466291,17.221454,1.066216,16.713359,2.04183,36.529782,6.588487,0.0,0.0,114.014007,2.808721,2128.786185,122.850596,0.087533,0.011918,0.261133,0.139542,0.042667,0.021385,25.36,1.406165
gob_00000000011_solanum_havanense_helixer_chr12_001779_1_cnl,3,6,"[1, 2, 3]",0.67,237.870556,24.225776,19.077546,59.286947,0.0,127.333022,1935.274518,0.144267,0.050341,52.302,,,,,,-0.142557,0.041565,,,,,,,15.088333,0.140069,6.516667,0.285808,1.055556,0.096225,0.67,0.0,259.336229,18.969203,25.665054,1.271889,21.96933,2.555467,61.9768,2.377021,0.0,0.0,147.879206,18.15665,2197.729326,231.931155,0.106733,0.033168,,,0.037,0.01179,39.496667,11.316065
gob_00000000011_solanum_havanense_helixer_chr4_000390_1_cnl,3,6,"[1, 2, 3]",0.700491,196.633848,14.875642,8.372034,41.586297,0.0,127.471464,1686.538403,0.137589,0.072003,45.935802,0.307576,48.113333,3.048816,21.0,0.0,-0.24804,0.01629,0.2538,0.0,0.933933,0.006481,83.576111,2.902337,14.995556,0.047619,18.758333,3.777106,8.333333,2.886751,0.743333,0.037859,235.7553,34.571603,16.637083,1.556584,15.031154,5.884661,61.16881,17.305055,0.0,0.0,141.289378,12.210882,1924.244449,210.060688,0.090233,0.041848,0.2244,0.073503,0.049333,0.020033,29.296667,14.703994
gca_000390325_3_nicotiana_tomentosiformis_helixer_cm066018_1_000266_1_cnl,3,6,"[1, 2, 3]",0.326926,0.0,0.0,0.0,0.0,0.0,0.0,1572.658134,0.266119,0.209015,50.682633,0.52745,40.631111,11.448408,21.0,0.0,-0.504801,0.033247,0.308,0.0,0.933383,0.004244,61.896111,3.832065,15.367222,0.081893,7.604444,6.540434,2.333333,4.041452,0.366667,0.035119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.008544,49.796823,0.1776,0.078224,0.425867,0.08977,0.171667,0.033005,48.636667,1.808019
gob_00000000011_solanum_havanense_helixer_chr4_000391_1_cnl,3,6,"[1, 2, 3]",0.6436,192.198485,14.017994,16.304348,40.663898,0.0,113.367551,1778.276014,0.146821,0.068478,35.638665,,,,,,-0.339577,0.017754,,,,,,,15.108889,0.049731,14.622222,5.042587,6.0,3.464102,0.656667,0.011547,223.528384,27.686212,18.215016,3.708906,18.697907,2.115186,51.755125,9.801311,0.0,0.0,133.435148,17.733723,1984.091248,181.878797,0.107233,0.034984,,,0.049667,0.016623,23.8,10.461821
gob_00000000011_solanum_havanense_helixer_chr4_001694_1_cnl,3,6,"[1, 2, 3]",0.5116,139.056001,18.037885,6.036558,27.121418,0.0,86.866751,2454.735173,0.196627,0.092725,49.16444,0.268135,46.7,1.435039,21.0,0.0,-0.303063,0.069235,0.2607,0.0,0.929906,0.009888,71.064444,11.01094,15.047222,0.077178,4.884444,0.8911,-2.333333,2.081666,0.59,0.069282,185.54116,41.078907,19.433232,1.233067,8.376595,2.067889,43.039353,14.06667,0.0,0.0,113.794668,23.796183,2689.047209,207.061403,0.128533,0.060174,0.2369,0.027602,0.078667,0.012423,34.856667,12.643771
