#                                                                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
gca_003996215_1_jaltomata_sinuosa_helixer_qjpp01001675_1_000011_1_cnl        -            493 MADA                 -             21     5e-09   31.2   1.4   1   1   1.3e-08   1.5e-08   29.7   1.4     1    21     1    21     1    21 0.98 -
goa_00000000027_solanum_tuberosum_helixer_chr04_hap15_v2_000062_1_cnl        -            489 MADA                 -             21   5.2e-09   31.1   1.3   1   1   1.2e-08   1.4e-08   29.8   1.3     1    21     1    21     1    21 0.98 -
gol_00000000018_solanum_chacoense_helixer_pg4042_ptg0040_000599_1_cnl        -            522 MADA                 -             21   5.2e-09   31.1   1.1   1   1   1.1e-08   1.3e-08   29.9   1.1     1    21     1    21     1    21 0.98 -
gca_020169585_1_solanum_tuberosum_helixer_cm034979_1_003533_1_cnl            -            533 MADA                 -             21   5.2e-09   31.1   1.1   1   1   1.1e-08   1.4e-08   29.8   1.1     1    21     1    21     1    21 0.98 -
gca_036553645_1_solanum_okadae_helixer_cm071693_1_003237_1_cnl               -            544 MADA                 -             21   5.3e-09   31.1   1.1   1   1   1.2e-08   1.4e-08   29.8   1.1     1    21     1    21     1    21 0.98 -
gol_00000000010_solanum_chomatophilum_helixer_pg3005_ptg0014_000078_1_cnl    -            425 MADA                 -             21   5.4e-09   31.1   1.6   1   1   4.5e-09   5.4e-09   31.1   1.6     1    21     1    21     1    21 0.98 -
gon_00000000002_nicotiana_benthamiana_helixer_nbqld183c16_002655_1_cnl       -            476 MADA                 -             21   5.6e-09   31.0   1.1   1   1   4.7e-09   5.6e-09   31.0   1.1     1    21     1    21     1    21 0.97 -
gol_00000000018_solanum_chacoense_helixer_pg4042_atg0046_000189_1_cnl        -            455 MADA                 -             21   5.8e-09   31.0   1.6   1   1   4.9e-09   5.8e-09   31.0   1.6     1    21     1    21     1    21 0.98 -
gol_00000000017_solanum_buesii_helixer_pg4041_ptg0007_000738_1_cnl           -            457 MADA                 -             21   5.9e-09   31.0   1.6   1   1   4.9e-09   5.9e-09   31.0   1.6     1    21     1    21     1    21 0.98 -
goc_00000000012_solanum_candolleanum_helixer_c497_h2_chr4_2_000065_1_cnl     -            473 MADA                 -             21   6.1e-09   30.9   1.6   1   1   5.1e-09   6.1e-09   30.9   1.6     1    21     1    21     1    21 0.98 -
gol_00000000039_solanum_neorossii_helixer_pg6243_atg0345_000009_1_cnl        -            473 MADA                 -             21   6.1e-09   30.9   1.6   1   1   5.1e-09   6.1e-09   30.9   1.6     1    21     1    21     1    21 0.98 -
goa_00000000003_solanum_tuberosum_helixer_chr04_hap14_v2_000062_1_cnl        -            474 MADA                 -             21   6.1e-09   30.9   1.6   1   1   5.1e-09   6.1e-09   30.9   1.6     1    21     1    21     1    21 0.98 -
gca_036553645_1_solanum_okadae_helixer_cm071693_1_000097_1_cnl               -            477 MADA                 -             21   6.2e-09   30.9   1.6   1   1   5.2e-09   6.2e-09   30.9   1.6     1    21     1    21     1    21 0.98 -
gob_00000000033_solanum_torvum_helixer_chr4_002402_1_cnl                     -            495 MADA                 -             21   6.2e-09   30.9   3.8   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
goa_00000000012_solanum_tuberosum_helixer_chr04_hap16_v2_000092_1_cnl        -            492 MADA                 -             21   6.4e-09   30.9   1.6   1   1   5.4e-09   6.4e-09   30.9   1.6     1    21     1    21     1    21 0.98 -
gca_015076265_1_solanum_tuberosum_helixer_cp055237_1_000076_1_cnl            -            494 MADA                 -             21   6.4e-09   30.8   1.6   1   1   5.4e-09   6.4e-09   30.8   1.6     1    21     1    21     1    21 0.98 -
goa_00000000009_solanum_tuberosum_helixer_chr04_hap13_v2_000062_1_cnl        -            494 MADA                 -             21   6.4e-09   30.8   1.6   1   1   5.4e-09   6.4e-09   30.8   1.6     1    21     1    21     1    21 0.98 -
gol_00000000025_solanum_candolleanum_helixer_pg5068_chr04_003339_1_cnl       -            496 MADA                 -             21   6.5e-09   30.8   1.6   1   1   5.4e-09   6.5e-09   30.8   1.6     1    21     1    21     1    21 0.98 -
gol_00000000038_solanum_cajamarquense_helixer_pg6242_atg0064_000001_1_cnl    -            496 MADA                 -             21   6.5e-09   30.8   1.6   1   1   5.4e-09   6.5e-09   30.8   1.6     1    21     1    21     1    21 0.98 -
gol_00000000027_solanum_tuberosum_helixer_pg6002_ptg0058_000543_1_cnl        -            493 MADA                 -             21   6.5e-09   30.8   3.4   1   1   1.4e-08   1.6e-08   29.6   0.9     1    21     1    21     1    21 0.97 -
gob_00000000033_solanum_torvum_helixer_chr4_000622_1_cnl                     -            493 MADA                 -             21   6.7e-09   30.8   3.8   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gob_00000000030_solanum_quitoense_helixer_chr4_001879_1_cnl                  -            495 MADA                 -             21   6.9e-09   30.7   3.8   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gca_034376525_1_nicotiana_benthamiana_helixer_cm067327_1_001176_1_cnl        -            536 MADA                 -             21   7.1e-09   30.7   1.6   1   1     6e-09   7.1e-09   30.7   1.6     1    21     1    21     1    21 0.98 -
gca_015076265_1_solanum_tuberosum_helixer_cp055237_1_000078_1_cnl            -            493 MADA                 -             21   7.6e-09   30.6   3.5   1   1   1.7e-08     2e-08   29.3   0.9     1    21     1    21     1    21 0.97 -
gcf_947179165_1_solanum_dulcamara_helixer_nc_077246_1_000553_1_cnl           -            494 MADA                 -             21   7.9e-09   30.6   1.8   1   1   6.7e-09   7.9e-09   30.6   1.8     1    20     1    20     1    21 0.97 -
gca_036553675_1_solanum_okadae_helixer_cm071681_1_000096_1_cnl               -            494 MADA                 -             21     8e-09   30.6   1.2   1   1   2.2e-08   2.7e-08   28.9   1.2     1    21     1    21     1    21 0.97 -
gob_00000000015_solanum_macrocarpon_helixer_chr4_000530_1_cnl                -            488 MADA                 -             21   9.3e-09   30.4   3.1   1   1     1e-08   1.2e-08   30.0   0.8     1    21     1    21     1    21 0.97 -
gca_030407385_1_solanum_americanum_helixer_cm059544_1_001886_1_cnl           -            486 MADA                 -             21   9.5e-09   30.3   1.1   1   1   2.8e-08   3.3e-08   28.6   1.1     1    21     1    21     1    21 0.98 -
gob_00000000016_solanum_mammosum_helixer_chr4_000832_1_cnl                   -            495 MADA                 -             21   9.6e-09   30.3   4.7   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
